Altium Designer Pick and Place Locations
Q:\SuSo\Hardware\Schaltplan und Layout\SuSo_rev1.1x\Production\SuSo_rev_1_1_2\Pick&Place for SuSo_rev_1_1.csv

========================================================================================================================
File Design Information:

Date:       17.11.20
Time:       11:28
Revision:   Not in VersionControl
Variant:    SuSo_rev_1_1_2
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","RFFE_PartNo","ProductionPackage"
"R6","560","TopLayer","PG_R0201_(0603Metrisch)","8.6750","2.5500","180","R-XX560R-XX0201-01","*R0201"
"R15","1M5","TopLayer","PG_R0201_(0603Metrisch)","10.3250","2.1750","360","R-XX1M50-XX0201-01","*R0201"
"R16","590k","TopLayer","PG_R0201_(0603Metrisch)","10.8250","3.2500","180","R-XX590K-XX0201-01","*R0201"
"C40","100nF","TopLayer","PG_C0201_(0603Metrisch)","20.3800","-2.6700","360","C-XX100N-X50201-01","*C0201"
"R26","1k","TopLayer","PG_R0201_(0603Metrisch)","19.5350","-2.5450","270","R-XX1K00-XX0201-01","*R0201"
"T1","TGF4350","TopLayer","PG_Probe_FET_V7a","13.3500","2.1500","90","T-GF4350-XXxDIE-01",""
"T2","TGF4350","TopLayer","PG_Probe_FET_V7a","6.8750","-2.6500","270","T-GF4350-XXxDIE-01",""
"R32","10k","BottomLayer","PG_R0201_(0603Metrisch)","23.4150","-2.9350","360","R-XX10K0-XX0201-01","*R0201"
"R37","1k","BottomLayer","PG_R0201_(0603Metrisch)","19.0200","-4.2850","360","R-XX1K00-XX0201-01","*R0201"
"R40","10k","BottomLayer","PG_R0201_(0603Metrisch)","22.7900","-3.5800","360","R-XX10K0-XX0201-01","*R0201"
"R41","1k","BottomLayer","PG_R0201_(0603Metrisch)","18.4750","0.3200","360","R-XX1K00-XX0201-01","*R0201"
"R42","10k","BottomLayer","PG_R0201_(0603Metrisch)","19.2750","1.1900","360","R-XX10K0-XX0201-01","*R0201"
"R43","10k","BottomLayer","PG_R0201_(0603Metrisch)","22.2700","-2.9350","180","R-XX10K0-XX0201-01","*R0201"
"U1","AD8034","BottomLayer","PG_SOT23-8","19.0150","-2.0150","270","A-AD8034-SOT238-01","*SOT23-8"
"U2","AD8034","BottomLayer","PG_SOT23-8","22.5150","-0.5650","90","A-AD8034-SOT238-01","*SOT23-8"
